"pk","fields__phone","fields__price","fields__date","fields__order_condition"
"0","09127734220","6541890","2024-02-14 07:19 PM","4"
"1","09614810601","4333681","2022-01-02 04:13 AM","4"
"2","09556693635","16104248","2022-12-27 06:42 AM","4"
"3","09031807567","12560273","2022-04-13 08:03 AM","4"
"4","09031807567","6846358","2022-05-23 12:31 PM","4"
"5","09339190174","4540934","2022-12-30 11:22 PM","4"
"6","09972446622","17786850","2023-08-14 09:47 AM","4"
"7","09159102123","6387559","2022-11-16 10:25 PM","4"
"8","09261331044","17083958","2022-01-05 08:40 PM","4"
"9","09588654086","14886942","2023-03-29 05:20 AM","4"
"10","09748604592","4968914","2023-07-24 09:43 PM","4"
"11","09687957574","4675150","2023-08-03 03:52 AM","4"
"12","09486223597","19407363","2023-07-13 01:54 PM","4"
"13","09779391140","2193603","2022-06-10 02:37 AM","4"
"14","09883980953","10239605","2022-09-25 12:49 AM","4"
"15","09576578533","17838105","2022-05-30 04:28 AM","4"
"16","09316612807","2478693","2023-01-13 12:05 PM","4"
"17","09661398428","18212554","2023-11-13 08:15 AM","4"
"18","09812250567","1729424","2022-05-21 05:16 PM","4"
"19","09753227597","2022527","2023-05-07 08:17 AM","4"
"20","09131200179","4787286","2022-03-29 03:04 AM","4"
"21","09313184345","2961415","2022-02-28 01:19 AM","4"
"22","09528653957","15769207","2022-06-16 11:16 PM","4"
"23","09292922828","3314476","2023-08-20 07:54 PM","4"
"24","09584252017","10713146","2022-12-25 08:18 PM","4"
"25","09554444388","19998298","2024-01-24 04:00 PM","4"
"26","09699396795","199069","2022-11-23 02:48 PM","4"
"27","09803256520","6526495","2023-02-08 12:06 AM","4"
"28","09054753264","15945612","2022-08-01 07:48 PM","4"
"29","09457688841","6887431","2023-04-02 01:02 PM","4"
"30","09204386436","7044183","2022-09-30 01:25 PM","4"
"31","09647790264","16615649","2024-02-07 05:59 PM","4"
"32","09887177991","1414500","2022-03-27 03:43 PM","4"
"33","09702534686","19633217","2022-01-04 04:01 PM","4"
"34","09501510322","2118808","2023-04-05 10:35 PM","4"
"35","09032556339","7333935","2024-02-28 11:15 AM","4"
"36","09415361656","4650247","2023-04-06 07:23 PM","4"
"37","09312303178","10520683","2022-12-18 03:56 PM","4"
"38","09924708760","14173151","2022-06-23 01:27 AM","4"
"39","09780287902","15703620","2023-05-08 06:37 PM","4"
"40","09655545235","13099983","2024-02-12 10:50 PM","4"
"41","09073032029","17742606","2023-09-02 07:29 PM","4"
